Object ID,Launch Date,Mass (kg),Dimensions (m),Orbital Altitude (km),Orbital Inclination (degrees),Orbital Eccentricity,Velocity (km/s),Material Type,Collision Probability,Decay Date,Operational Status,Risk Factor,Region of Orbit
D2704,1961-03-18,8980.07,2.5x1.4x0.4,12328.88,108.44,0.0742,7.13,Steel,0.0027,2023-09-07,Active,Medium,MEO
D2705,2006-10-23,6519.71,2.0x2.7x1.0,4731.94,10.26,0.0563,6.8,Titanium,0.0099,1971-12-09,Active,Low,MEO
D2706,1962-08-26,3893.6,4.8x1.7x2.5,13915.83,50.97,0.0393,7.13,Composite,0.0348,1972-10-17,Inactive,High,MEO
D2707,1963-09-03,7140.5,1.7x1.1x3.5,29565.17,54.33,0.0956,4.85,Titanium,0.0356,,Inactive,High,MEO
D2708,2008-06-23,9574.98,2.1x0.3x0.7,18983.4,152.85,0.0001,3.79,Composite,0.0113,2035-06-21,Active,Medium,MEO
D2709,2007-05-09,6566.44,1.8x4.0x3.1,20532.71,147.75,0.0471,2.25,Titanium,0.087,1993-10-28,Active,High,MEO
D2710,1971-09-24,8663.63,2.5x1.7x2.1,25571.0,165.13,0.0792,4.69,Steel,0.0646,1959-09-26,Fragmented,Low,MEO
D2711,2005-04-09,767.0,0.7x0.2x0.6,9958.76,56.27,0.0335,5.3,Aluminum,0.0139,2031-06-30,Fragmented,Low,MEO
D2712,1962-10-08,6643.59,2.0x1.6x1.5,16476.29,110.86,0.0257,7.93,Polymer,0.0743,1989-08-15,Inactive,Low,MEO
D2713,1970-12-08,41.63,0.9x2.3x3.6,1726.46,10.97,0.0647,6.86,Aluminum,0.0831,1997-05-10,Fragmented,High,LEO
D2714,2001-05-19,776.71,2.0x2.1x0.5,5699.97,168.96,0.0713,2.5,Steel,0.0159,2048-12-19,Inactive,Medium,MEO
D2715,1991-03-06,7535.37,1.8x2.9x4.6,481.47,168.79,0.0498,2.7,Polymer,0.006,1962-12-05,Fragmented,Medium,LEO
D2716,1962-01-13,9041.05,4.1x3.5x2.8,30674.33,178.78,0.0374,4.44,Aluminum,0.0853,,Inactive,Medium,MEO
D2717,1998-02-20,9988.07,1.0x3.1x4.9,19769.43,99.38,0.0504,4.8,Aluminum,0.0191,1972-01-14,Inactive,High,MEO
D2718,2005-12-16,6374.71,4.5x1.5x0.4,24348.35,62.91,0.0698,6.88,Aluminum,0.0405,,Inactive,Low,MEO
D2719,1977-06-07,7281.58,0.4x0.4x1.9,14920.51,99.88,0.0634,6.71,Polymer,0.0686,2015-06-17,Active,Low,MEO
D2720,1983-01-23,4885.63,2.2x5.0x3.5,8328.88,170.61,0.0052,5.5,Composite,0.0788,2035-12-04,Inactive,High,MEO
D2721,2021-04-07,1413.65,3.5x2.1x1.1,30720.46,33.87,0.0596,5.87,Polymer,0.023,1978-11-24,Fragmented,Low,MEO
D2722,2016-05-04,9813.83,1.5x3.2x1.3,4544.57,69.48,0.0813,7.0,Polymer,0.0751,1985-07-21,Active,Low,MEO
D2723,1995-05-25,2861.13,2.0x2.0x2.5,23891.97,27.66,0.0061,4.43,Composite,0.0643,,Active,Medium,MEO
D2724,1994-03-17,5935.98,3.8x1.7x3.2,13233.09,63.47,0.0487,6.65,Steel,0.0845,2015-05-06,Active,High,MEO
D2725,2019-08-12,7528.05,4.8x1.4x3.5,33686.64,149.41,0.0504,4.4,Titanium,0.0564,1980-04-17,Fragmented,Low,MEO
D2726,1986-07-01,2836.64,1.0x3.6x2.5,39454.82,109.77,0.0428,7.3,Titanium,0.0464,2042-08-23,Fragmented,High,GEO
D2727,1985-06-21,2195.48,0.3x1.0x4.1,35390.86,138.68,0.0831,3.53,Steel,0.0242,1969-10-10,Fragmented,Low,MEO
D2728,1993-03-07,2663.29,3.0x3.4x1.7,19614.62,151.99,0.0911,5.99,Aluminum,0.0494,1982-11-10,Fragmented,Medium,MEO
D2729,2020-07-26,7367.36,1.4x0.4x2.7,13443.38,163.08,0.0214,2.43,Polymer,0.0211,2031-03-02,Inactive,High,MEO
D2730,2016-07-24,6828.9,3.3x0.4x1.5,558.62,16.96,0.0769,7.12,Composite,0.0006,1991-07-24,Active,High,LEO
D2731,1986-05-27,3437.46,0.7x3.0x3.5,24786.63,3.1,0.0588,2.74,Titanium,0.0283,,Active,Low,MEO
D2732,1977-04-05,6152.03,0.3x1.3x3.9,33236.37,116.6,0.0141,7.14,Steel,0.0767,,Active,High,MEO
D2733,1989-03-07,7142.88,0.6x2.3x3.1,31015.99,11.17,0.0476,3.68,Aluminum,0.0175,1983-07-23,Inactive,Medium,MEO
D2734,2009-01-04,8743.18,3.0x1.9x4.2,29378.39,161.15,0.0756,4.14,Steel,0.0764,1964-07-10,Active,Medium,MEO
D2735,2003-06-20,8282.9,1.0x1.1x2.2,13829.54,11.84,0.0919,7.32,Aluminum,0.075,2020-10-14,Inactive,Medium,MEO
D2736,1963-06-15,5573.28,0.3x3.2x1.5,13089.99,157.97,0.0887,6.57,Steel,0.0855,2008-10-18,Inactive,Medium,MEO
D2737,1972-03-05,1534.14,1.5x4.0x2.2,22068.95,167.01,0.0562,2.05,Titanium,0.0596,1980-09-14,Fragmented,Medium,MEO
D2738,1981-12-16,1159.55,2.8x2.8x5.0,3262.54,44.39,0.069,2.86,Aluminum,0.0002,,Fragmented,High,MEO
D2739,1998-01-29,4227.2,2.0x2.1x2.2,10625.77,128.43,0.0567,4.89,Polymer,0.0857,,Fragmented,High,MEO
D2740,1978-12-18,5965.46,4.8x4.0x3.4,24285.46,79.96,0.024,5.94,Steel,0.0255,2001-08-27,Active,High,MEO
D2741,1982-04-17,771.82,4.6x3.1x4.1,20721.0,91.96,0.078,4.53,Titanium,0.0906,1988-06-29,Inactive,High,MEO
D2742,2017-07-08,5039.24,2.8x0.3x2.2,22668.45,156.32,0.0945,7.45,Composite,0.0211,2039-04-30,Inactive,High,MEO
D2743,2024-10-23,4156.67,1.0x2.3x4.5,22082.11,177.44,0.0412,2.39,Composite,0.0558,,Fragmented,Medium,MEO
D2744,2025-01-13,8504.17,2.5x3.4x2.5,9600.37,89.17,0.0215,5.29,Steel,0.0935,2032-07-19,Fragmented,High,MEO
D2745,2015-12-30,1558.02,0.2x3.5x0.3,7751.21,147.58,0.0694,3.34,Composite,0.0926,1989-08-27,Active,Low,MEO
D2746,1971-05-10,6053.83,4.4x0.7x4.4,3343.74,53.62,0.0393,5.03,Polymer,0.0635,,Inactive,High,MEO
D2747,1997-06-01,5107.68,4.8x3.9x4.8,23992.95,135.89,0.0958,3.93,Composite,0.0356,,Inactive,Medium,MEO
D2748,2020-09-04,5611.96,4.8x4.6x0.3,7029.99,30.69,0.0136,6.08,Polymer,0.0876,2021-05-30,Inactive,Low,MEO
D2749,1972-09-08,9093.86,3.4x2.1x4.7,6349.43,78.11,0.0204,5.94,Composite,0.0362,1964-12-24,Fragmented,High,MEO
D2750,1990-01-04,1461.48,5.0x5.0x3.0,26698.86,5.12,0.0194,5.74,Steel,0.0707,1961-10-28,Inactive,Medium,MEO
D2751,1974-05-10,6637.49,4.9x2.9x1.3,27822.71,6.66,0.0978,2.44,Polymer,0.0787,2029-08-09,Inactive,High,MEO
D2752,2012-06-20,3172.37,1.8x0.8x0.9,9015.16,92.97,0.0522,3.42,Aluminum,0.0936,,Active,High,MEO
D2753,2018-11-07,5763.67,3.8x4.3x1.7,38490.91,79.35,0.0906,3.32,Polymer,0.0769,2017-09-14,Inactive,Medium,GEO
D2754,1973-09-24,8852.0,0.3x3.9x1.1,28952.84,6.84,0.0232,7.31,Polymer,0.0578,2030-10-19,Inactive,High,MEO
D2755,2001-01-11,9544.07,1.3x3.4x2.0,475.14,170.46,0.0537,2.47,Titanium,0.0304,1958-09-24,Fragmented,High,LEO
D2756,1968-10-25,5989.84,3.6x2.6x4.7,29918.24,31.79,0.0492,2.53,Composite,0.0162,1962-12-02,Active,Medium,MEO
D2757,1977-04-07,6394.38,2.3x2.7x4.8,29032.22,133.08,0.0477,2.44,Polymer,0.0367,1976-05-24,Fragmented,Medium,MEO
D2758,1969-01-12,619.13,0.2x4.8x1.7,11003.05,46.29,0.0396,7.69,Titanium,0.0754,1999-04-07,Inactive,Medium,MEO
D2759,1995-08-02,879.54,0.8x4.3x0.3,31726.1,99.84,0.0508,6.94,Polymer,0.0888,,Fragmented,Low,MEO
D2760,2010-03-18,4760.32,0.2x2.4x3.1,39496.57,120.78,0.0482,3.26,Aluminum,0.0114,2034-03-18,Active,High,GEO
D2761,1970-11-03,1384.97,3.0x3.6x1.1,29446.15,113.46,0.0729,4.33,Polymer,0.0021,2042-09-07,Active,Medium,MEO
D2762,2018-07-03,2655.15,2.6x4.1x5.0,21963.56,32.78,0.0751,5.69,Composite,0.0952,2039-07-02,Fragmented,High,MEO
D2763,1966-11-28,1291.79,3.4x1.2x2.4,2729.98,128.72,0.0334,2.24,Aluminum,0.0183,1993-01-27,Inactive,Medium,MEO
D2764,1981-05-08,4356.18,2.7x4.3x1.6,36520.64,169.4,0.0993,5.59,Aluminum,0.0304,2006-10-07,Fragmented,Medium,GEO
D2765,1978-11-30,853.97,4.2x3.0x3.8,32467.31,167.39,0.0006,3.57,Composite,0.0981,1979-01-23,Fragmented,Low,MEO
D2766,2014-11-04,1234.86,3.4x1.8x3.6,12085.91,47.4,0.0889,3.9,Aluminum,0.0929,2032-05-15,Inactive,High,MEO
D2767,2021-01-20,8445.94,0.5x1.6x4.8,4082.96,95.58,0.0703,5.21,Steel,0.0465,2047-11-14,Active,High,MEO
D2768,2018-12-15,9639.44,2.6x1.5x2.4,32687.89,75.76,0.0064,5.45,Titanium,0.0286,,Inactive,Low,MEO
D2769,2009-05-17,7784.06,4.9x4.8x0.6,7033.84,87.09,0.052,2.62,Steel,0.0349,2021-01-27,Active,High,MEO
D2770,1984-08-04,3854.87,1.7x0.2x3.4,26846.67,160.47,0.0069,2.12,Polymer,0.0435,2034-04-13,Fragmented,Low,MEO
D2771,1993-08-08,5425.84,4.0x2.4x5.0,5547.32,24.09,0.064,7.95,Aluminum,0.0609,1976-12-16,Active,High,MEO
D2772,2011-05-17,1960.91,3.0x3.7x3.7,5450.36,60.01,0.0011,5.27,Aluminum,0.0595,1963-02-28,Fragmented,High,MEO
D2773,2021-10-14,1534.22,3.8x2.4x4.3,28610.1,77.51,0.0155,3.9,Titanium,0.0027,1984-05-08,Active,High,MEO
D2774,2020-10-16,1048.19,1.9x0.3x0.4,2357.59,158.51,0.0066,5.59,Titanium,0.0872,1964-11-30,Active,High,MEO
D2775,2016-06-03,2499.2,3.2x1.8x1.9,11112.1,102.17,0.0119,2.13,Steel,0.0946,,Active,Low,MEO
D2776,1997-01-07,1831.92,4.9x1.5x3.7,12438.9,32.77,0.0542,3.61,Titanium,0.0776,,Fragmented,Low,MEO
D2777,2008-07-16,9293.32,4.3x0.9x1.4,10348.14,164.96,0.0803,7.57,Polymer,0.0888,,Active,Low,MEO
D2778,1994-02-20,8154.84,3.9x0.8x3.0,22302.96,104.99,0.0634,6.6,Steel,0.0155,2017-11-28,Inactive,Medium,MEO
D2779,2024-02-03,6706.95,0.5x3.8x4.4,1040.35,35.18,0.011,7.62,Aluminum,0.045,1977-09-28,Fragmented,Medium,LEO
D2780,1981-12-23,4563.27,2.5x4.1x4.8,11155.4,80.78,0.0009,5.35,Steel,0.0416,2036-02-19,Active,Low,MEO
D2781,2008-04-22,7212.21,3.1x4.0x2.5,14987.3,14.71,0.0834,6.59,Titanium,0.0226,2008-09-09,Inactive,Low,MEO
D2782,2010-03-11,2856.8,0.4x3.1x3.3,27193.25,3.23,0.0857,5.22,Titanium,0.0307,1981-01-07,Active,Low,MEO
D2783,1970-10-15,8822.43,2.9x4.8x2.5,10219.6,23.42,0.0243,3.33,Composite,0.0987,2040-04-07,Inactive,High,MEO
D2784,2003-08-18,5856.07,4.6x1.0x2.1,24241.2,67.85,0.0542,3.95,Polymer,0.0961,2036-04-12,Inactive,Medium,MEO
D2785,2017-05-04,8679.45,4.1x3.7x1.3,21886.72,68.31,0.0959,7.72,Titanium,0.08,1963-01-02,Active,Medium,MEO
D2786,1960-11-02,3875.23,0.9x2.2x0.4,541.7,72.56,0.0714,6.39,Composite,0.0083,1999-11-09,Active,Low,LEO
D2787,1999-06-12,9283.89,2.3x4.5x3.2,11053.62,168.63,0.0803,3.16,Polymer,0.0422,2002-11-16,Inactive,Medium,MEO
D2788,1960-09-19,3711.19,0.5x1.3x0.3,36931.34,39.69,0.0132,6.69,Polymer,0.0206,2017-01-15,Active,High,GEO
D2789,1967-08-25,8977.65,1.7x3.6x4.6,7565.89,80.8,0.0277,5.86,Polymer,0.0096,2049-03-25,Active,Medium,MEO
D2790,1972-02-11,4129.8,2.8x3.5x3.5,25669.76,70.09,0.0293,5.22,Aluminum,0.051,,Inactive,High,MEO
D2791,1988-06-22,2634.19,3.2x3.7x4.6,27096.75,23.26,0.0538,7.02,Titanium,0.0762,1957-11-05,Inactive,Medium,MEO
D2792,1989-01-13,3672.53,2.3x3.5x4.6,28461.23,82.96,0.0335,7.08,Steel,0.0456,1967-09-28,Inactive,Medium,MEO
D2793,2001-09-19,1657.79,1.9x1.2x1.2,13322.74,65.22,0.0317,2.25,Aluminum,0.0787,1996-02-20,Fragmented,High,MEO
D2794,1974-05-28,2817.56,0.6x1.0x4.1,28483.1,22.41,0.0163,3.68,Composite,0.0498,2021-04-10,Inactive,Medium,MEO
D2795,2020-11-01,661.46,1.3x4.9x4.9,13956.5,28.44,0.0344,2.05,Composite,0.0093,2048-11-02,Inactive,Medium,MEO
D2796,2022-05-24,8521.0,2.1x4.2x3.6,38671.04,22.3,0.0509,7.91,Composite,0.056,1979-11-07,Inactive,Low,GEO
D2797,2019-01-31,9252.62,4.6x2.5x0.3,33444.76,96.3,0.0546,2.15,Steel,0.0764,1961-03-08,Inactive,Low,MEO
D2798,2002-01-17,1058.98,2.2x4.0x4.4,22997.92,83.46,0.0165,5.52,Aluminum,0.0158,1967-07-07,Inactive,Low,MEO
D2799,2001-01-10,8286.8,0.2x1.7x2.9,29365.68,131.37,0.0127,7.18,Aluminum,0.0946,1999-01-08,Active,Low,MEO
D2800,2004-10-24,1333.01,4.7x1.0x4.5,39343.84,150.81,0.0316,2.09,Polymer,0.0766,2031-02-12,Fragmented,High,GEO
D2801,2006-03-25,957.67,2.2x3.8x4.0,3062.11,83.14,0.0398,4.13,Aluminum,0.0673,,Inactive,Low,MEO
D2802,1962-05-09,1623.05,0.1x0.1x4.1,4046.28,147.69,0.0986,4.65,Aluminum,0.0878,2048-06-27,Fragmented,Low,MEO
D2803,2009-04-03,6290.53,2.5x3.0x4.8,15673.96,178.16,0.006,3.6,Titanium,0.074,2005-09-03,Inactive,High,MEO
D2804,2001-12-07,9276.4,1.1x4.9x4.3,13350.3,44.91,0.0604,2.89,Titanium,0.0142,2043-11-23,Active,Low,MEO
D2805,2004-10-11,7250.47,0.3x1.6x2.9,15305.99,1.6,0.0152,3.72,Steel,0.0704,1981-02-17,Active,High,MEO
D2806,1984-08-22,6920.26,4.6x0.8x3.2,19016.55,120.16,0.028,2.39,Titanium,0.073,1969-11-06,Active,Medium,MEO
D2807,1988-02-07,6153.01,1.5x0.2x4.6,23319.68,32.66,0.0468,4.36,Aluminum,0.0485,1959-02-14,Fragmented,Low,MEO
D2808,1970-07-13,8334.69,1.6x0.7x1.0,15401.25,11.82,0.0726,3.39,Polymer,0.0798,2023-12-21,Fragmented,Medium,MEO
D2809,2021-07-25,6055.73,2.1x0.2x2.1,19302.37,70.28,0.0693,7.6,Composite,0.0081,1996-09-21,Inactive,High,MEO
D2810,1984-10-09,8315.93,2.0x1.6x0.4,35305.47,27.38,0.0856,4.81,Composite,0.0196,2028-12-07,Fragmented,Medium,MEO
D2811,1977-12-31,2015.66,4.6x0.4x4.6,28291.51,38.59,0.0369,7.01,Polymer,0.0416,2018-02-23,Fragmented,Medium,MEO
D2812,1966-08-01,3241.66,1.8x3.3x1.8,30403.03,12.24,0.0103,5.16,Composite,0.0233,1968-06-03,Active,High,MEO
D2813,1976-06-11,5984.5,2.3x0.3x0.4,28844.35,68.33,0.0092,2.21,Composite,0.0155,1975-12-07,Active,Low,MEO
D2814,1993-10-31,5179.01,0.9x3.7x1.0,33924.69,58.98,0.0925,5.97,Polymer,0.0242,2026-06-26,Active,High,MEO
D2815,1982-03-04,2697.95,0.6x1.1x2.2,22306.93,130.03,0.0461,6.75,Composite,0.0371,2022-04-03,Inactive,Medium,MEO
D2816,1965-12-24,9016.4,4.6x0.8x3.6,27904.79,115.59,0.0839,5.9,Polymer,0.0203,1989-10-06,Fragmented,Low,MEO
D2817,1983-03-01,4144.49,4.3x2.6x2.6,14772.48,29.54,0.0231,5.36,Composite,0.0345,,Inactive,Low,MEO
D2818,1960-03-10,4822.86,1.1x1.2x3.1,2388.42,152.01,0.0724,2.26,Steel,0.075,,Active,High,MEO
D2819,2006-06-27,7872.88,1.7x2.8x3.5,2475.56,48.27,0.023,3.43,Titanium,0.0875,,Active,High,MEO
D2820,1970-11-15,9322.42,0.2x2.1x2.0,34596.77,0.75,0.0563,4.71,Steel,0.0477,1992-06-10,Active,Low,MEO
D2821,2012-10-29,468.11,3.5x2.8x4.8,20714.45,95.62,0.0576,6.56,Titanium,0.0957,2011-04-23,Inactive,Medium,MEO
D2822,2008-12-22,382.29,4.8x4.5x2.5,1096.23,107.98,0.0599,6.26,Titanium,0.0583,2031-11-14,Fragmented,Low,LEO
D2823,2006-01-17,5664.61,4.6x0.9x1.8,35160.43,138.21,0.0812,3.67,Aluminum,0.0794,2047-08-13,Inactive,Low,MEO
D2824,1983-03-14,8153.02,2.6x3.0x4.9,25065.51,145.84,0.0486,4.5,Titanium,0.0745,2009-01-10,Active,High,MEO
D2825,2005-08-14,1069.98,4.3x0.2x0.8,29885.36,64.43,0.0605,3.72,Steel,0.0163,1977-06-18,Fragmented,Low,MEO
D2826,1979-10-22,8639.94,0.7x1.7x2.5,9135.33,69.38,0.0272,7.68,Titanium,0.021,1977-04-05,Inactive,Medium,MEO
D2827,1965-07-07,9377.08,1.5x2.2x4.8,512.28,74.75,0.0225,4.59,Polymer,0.0649,,Inactive,Low,LEO
D2828,1989-05-28,7019.08,1.4x2.1x1.7,30939.39,110.47,0.0601,4.18,Composite,0.0328,2009-10-08,Inactive,High,MEO
D2829,2011-04-24,5686.4,4.2x3.1x2.3,26437.65,21.32,0.0811,2.92,Composite,0.0198,2038-11-28,Fragmented,Medium,MEO
D2830,2009-07-02,9825.79,3.2x2.2x4.9,14014.63,117.57,0.0596,3.04,Aluminum,0.0863,1996-05-04,Inactive,High,MEO
D2831,2014-08-09,175.55,0.3x1.1x4.9,35201.24,14.4,0.0734,7.36,Composite,0.0947,2038-06-20,Active,High,MEO
D2832,1982-07-31,6134.65,1.4x2.9x4.0,29109.7,115.16,0.0638,5.59,Polymer,0.0742,,Inactive,High,MEO
D2833,2023-01-19,6697.23,1.0x2.1x0.7,3553.08,78.1,0.0535,5.68,Composite,0.0383,1981-08-24,Active,High,MEO
D2834,1988-04-30,7211.26,5.0x1.0x4.9,22209.16,146.59,0.0426,5.18,Aluminum,0.0345,2025-01-13,Fragmented,Low,MEO
D2835,1991-05-27,2462.19,0.5x2.7x0.2,8488.8,30.31,0.0557,3.64,Composite,0.0625,1978-03-04,Fragmented,Medium,MEO
D2836,1971-03-07,1183.32,2.2x1.0x1.6,15838.88,120.96,0.063,7.24,Polymer,0.08,2033-10-01,Inactive,Low,MEO
D2837,1987-08-19,4413.25,1.2x1.8x1.1,1612.96,46.24,0.0324,2.52,Composite,0.0444,2037-10-23,Fragmented,High,LEO
D2838,1991-02-10,177.48,4.2x2.6x1.0,39757.29,44.04,0.0684,5.25,Steel,0.0831,1984-12-31,Inactive,High,GEO
D2839,1996-04-27,3211.3,2.3x3.3x1.7,10047.19,21.43,0.0563,3.28,Polymer,0.0777,1969-11-16,Inactive,Medium,MEO
D2840,1990-12-23,4028.37,1.2x0.9x2.4,18302.33,176.4,0.0922,2.69,Titanium,0.0599,,Fragmented,Low,MEO
D2841,2011-02-03,3967.48,0.6x3.6x0.9,17185.28,133.0,0.0617,5.76,Aluminum,0.0625,2000-03-18,Fragmented,Low,MEO
D2842,1998-07-09,480.53,1.0x2.2x1.1,349.42,72.74,0.0661,6.66,Aluminum,0.0742,1984-04-26,Fragmented,Medium,LEO
D2843,2001-02-22,6964.16,0.6x4.8x0.1,23627.26,165.13,0.0715,7.04,Steel,0.0395,1989-01-05,Fragmented,Medium,MEO
D2844,2023-08-29,3603.29,0.7x1.2x1.8,3499.3,147.13,0.0564,7.4,Composite,0.0143,2038-10-14,Active,Medium,MEO
D2845,2013-11-07,4726.08,1.9x1.6x0.3,6669.95,158.86,0.0409,6.66,Polymer,0.0343,2004-04-08,Active,Low,MEO
D2846,1998-03-28,9941.84,1.9x1.7x0.3,28162.7,149.66,0.0861,2.21,Composite,0.0256,2028-05-07,Inactive,Medium,MEO
D2847,2004-02-15,2023.71,0.7x0.3x4.3,24544.99,151.26,0.0636,7.0,Composite,0.063,1997-01-17,Active,Low,MEO
D2848,1984-05-10,8266.75,4.4x1.9x1.0,11300.96,162.08,0.0101,7.16,Aluminum,0.0392,,Fragmented,High,MEO
D2849,1981-12-29,769.98,1.1x4.5x3.8,17645.24,160.66,0.077,4.66,Composite,0.0539,2035-11-23,Inactive,Medium,MEO
D2850,2003-05-06,4389.63,3.0x3.3x1.3,33541.49,48.51,0.0091,7.55,Composite,0.0931,2019-07-08,Inactive,Low,MEO
D2851,1986-08-06,8900.83,1.5x0.3x3.0,29441.45,53.8,0.0503,3.91,Polymer,0.0073,1966-07-08,Fragmented,High,MEO
D2852,2021-05-10,4994.04,3.8x3.2x4.5,22669.27,57.65,0.0924,3.68,Steel,0.0465,2035-08-09,Inactive,High,MEO
D2853,1992-10-04,2899.9,0.3x0.8x3.4,37143.11,80.18,0.0208,7.63,Steel,0.0471,1997-06-21,Fragmented,Low,GEO
D2854,2005-02-02,2683.31,3.3x0.2x3.9,12815.75,38.76,0.0243,2.62,Aluminum,0.0922,1972-04-22,Inactive,High,MEO
D2855,1972-05-20,1729.05,4.8x2.7x1.4,3150.17,53.93,0.0893,3.01,Aluminum,0.0446,1980-03-03,Active,Medium,MEO
D2856,1963-08-24,4179.23,2.3x4.7x3.5,1115.52,15.2,0.0022,2.48,Titanium,0.0559,2051-08-04,Inactive,Low,LEO
D2857,1981-08-20,7202.19,1.2x0.9x2.8,11344.56,107.55,0.0846,2.17,Aluminum,0.0491,,Active,Medium,MEO
D2858,1986-03-22,1295.6,4.8x0.2x2.0,32116.25,135.62,0.0822,4.23,Steel,0.0208,2010-10-10,Inactive,High,MEO
D2859,2011-04-17,8813.19,2.6x0.4x3.0,10138.74,76.18,0.0033,3.05,Aluminum,0.0331,1970-03-08,Active,Medium,MEO
D2860,2018-12-04,2418.0,0.7x0.4x4.2,2591.45,114.84,0.0051,5.02,Aluminum,0.0392,1972-09-11,Fragmented,Medium,MEO
D2861,1959-10-20,8398.69,2.2x4.2x0.9,28777.94,113.46,0.0269,6.31,Steel,0.0067,2042-03-21,Active,High,MEO
D2862,2022-04-28,4024.18,2.8x1.6x2.5,28789.42,92.98,0.0906,3.17,Aluminum,0.0602,1978-05-03,Active,High,MEO
D2863,1977-10-25,6705.85,4.3x2.2x3.7,15475.09,161.5,0.0402,6.97,Steel,0.0883,2012-01-20,Fragmented,High,MEO
D2864,2000-09-03,7838.41,3.8x0.7x2.9,22210.48,117.44,0.0394,3.14,Polymer,0.0099,2003-06-01,Inactive,High,MEO
D2865,1998-04-22,3953.62,3.2x1.7x2.2,2189.45,118.88,0.0563,7.3,Titanium,0.049,2001-08-12,Active,High,MEO
D2866,1980-02-28,2994.29,4.2x1.1x4.6,38426.23,11.2,0.0256,2.96,Steel,0.0665,,Inactive,Low,GEO
D2867,1976-02-02,1388.78,2.1x2.9x4.2,33684.27,130.39,0.0953,4.34,Polymer,0.0142,1999-10-30,Active,Low,MEO
D2868,1974-01-29,2714.39,2.0x3.7x1.6,18799.34,178.55,0.0747,5.76,Aluminum,0.0656,2013-03-22,Active,Medium,MEO
D2869,1997-12-03,7532.35,4.5x4.5x3.8,29360.12,141.45,0.0882,5.88,Titanium,0.0357,1973-12-15,Active,Low,MEO
D2870,1999-12-30,8237.87,4.3x2.7x3.7,14737.5,21.49,0.0817,7.89,Polymer,0.075,,Inactive,High,MEO
D2871,2008-11-09,6512.79,4.5x1.9x0.4,21725.34,113.88,0.0365,7.38,Composite,0.0495,1974-02-11,Inactive,High,MEO
D2872,1986-11-29,8262.34,0.2x0.4x2.8,21311.23,80.57,0.07,3.84,Aluminum,0.0161,2000-02-28,Inactive,High,MEO
D2873,2003-05-27,3233.28,4.8x0.5x2.9,1595.27,159.45,0.0888,4.19,Steel,0.0607,1991-02-24,Fragmented,High,LEO
D2874,2011-11-06,2336.51,3.9x0.8x3.3,33858.83,22.29,0.0633,2.7,Polymer,0.0111,,Inactive,High,MEO
D2875,2017-12-08,911.18,3.8x0.6x4.0,38097.35,140.95,0.0264,4.7,Steel,0.0241,,Active,Medium,GEO
D2876,1999-08-13,2531.87,0.6x4.9x3.6,22393.69,136.69,0.0457,2.93,Aluminum,0.0279,2010-01-02,Active,Low,MEO
D2877,2001-07-27,192.78,1.6x1.6x4.8,38194.4,157.43,0.0142,6.38,Composite,0.0449,2007-06-05,Inactive,Low,GEO
D2878,1993-12-31,5367.05,2.6x1.6x1.5,32416.84,52.79,0.0936,3.94,Polymer,0.0259,,Active,High,MEO
D2879,1961-08-23,3651.76,2.1x2.8x0.9,12337.27,126.58,0.0775,6.05,Polymer,0.0362,2045-10-16,Fragmented,High,MEO
D2880,1985-03-28,2214.38,0.4x2.4x3.4,39740.91,25.1,0.0616,7.5,Titanium,0.0414,1998-01-31,Inactive,Medium,GEO
D2881,1998-06-24,3551.43,4.1x4.4x1.4,19892.86,45.88,0.0565,6.89,Titanium,0.0623,1959-03-23,Inactive,High,MEO
D2882,1995-05-08,4646.07,2.8x1.4x4.6,33530.4,152.33,0.0861,7.19,Composite,0.0935,2003-01-11,Fragmented,High,MEO
D2883,1995-05-31,5038.97,0.8x0.8x1.6,30484.06,143.88,0.0074,3.63,Aluminum,0.0498,2018-06-01,Fragmented,Low,MEO
D2884,1992-03-26,4338.59,3.8x4.4x0.8,21226.27,177.0,0.0908,6.01,Composite,0.0279,2047-01-22,Fragmented,High,MEO
D2885,1979-04-19,3959.97,4.7x1.7x3.9,22372.4,95.36,0.0587,6.23,Steel,0.0611,2020-02-09,Fragmented,Low,MEO
D2886,1966-10-14,3013.69,2.7x1.4x4.3,16916.76,89.46,0.0751,5.46,Aluminum,0.0615,2026-06-01,Fragmented,Medium,MEO
D2887,1996-01-15,9131.08,2.9x3.9x3.2,12068.63,88.4,0.0207,4.67,Aluminum,0.0783,,Fragmented,High,MEO
D2888,1996-12-16,5897.99,0.4x3.2x1.7,25136.29,33.63,0.019,6.91,Composite,0.0173,1969-01-04,Inactive,Medium,MEO
D2889,1982-11-27,5221.16,1.2x4.2x4.9,29014.51,153.14,0.0883,2.57,Titanium,0.029,1976-05-09,Active,Low,MEO
D2890,2007-07-05,8566.99,4.1x1.2x0.4,16356.57,131.23,0.0083,4.59,Titanium,0.0819,1966-10-02,Fragmented,High,MEO
D2891,1978-06-16,1435.27,4.5x3.5x3.1,23350.98,145.15,0.0889,3.31,Aluminum,0.0852,2042-03-21,Inactive,Medium,MEO
D2892,2016-06-10,6555.19,4.6x1.5x0.3,31214.12,88.64,0.0546,4.58,Composite,0.0521,1971-11-28,Active,High,MEO
D2893,1985-07-30,3434.86,5.0x4.8x0.8,17778.01,117.48,0.0483,7.68,Polymer,0.0547,1982-11-22,Inactive,High,MEO
